Batch,Secondary,Primary
1,9849768.15,7462160.431
1,4168403.276,5650939.245
1,3293830.953,5039677.131
1,3021274.05,4344257.658
1,2987508.503,4016099.484
1,2877551.276,3869510.003
1,3183610.985,4161878.936
1,2745303.42,4376078.427
1,2923214.177,4359744.472
1,3221372.829,4273902.318
1,2929970.401,4378654.402
1,2808151.207,4107495.598
1,2791854.534,4472347.22
1,3006279.682,4196619.209
1,3066202.817,4658414.401
1,2819473.4,4385930.81
1,3262581.519,4753512.641
1,3398017.844,4573082.906
1,3266979.294,4568425.335
1,3612961.845,4795755.928
1,2664390.102,4057984.332
1,2652425.907,4281274.545
1,3662492.326,5206159.654
1,3243657.765,4713835.022
1,2747705.4,4155093.075
1,3041001.884,4490298.649
1,3369439.669,4988308.249
1,2798250.051,4112062.757
1,3066561.541,4368621.292
1,2673804.493,4259241.508
1,2464318.871,3615526.749
1,2597920.213,3989269.897
1,2784203.077,4398111.993
1,2568309.526,4260214.531
1,2462408.996,3625402.233
1,2444623.838,3986217.502
1,2525259.442,3855537.015
1,3441621.099,5229785.605
1,2707433.203,4548163.36
1,4495588.307,6898203.194
1,3147424.314,4813714.614
1,2611536.663,3652862.123
1,2965531.401,4599251.872
1,2820289.436,4463360.06
1,2608453.563,3849837.369
1,2561116.937,3997514.085
1,2624150.618,4055709.26
1,2826897.678,4444725.26
1,2634331.307,3730575.152
1,2875558.321,4376549.645
1,2661309.337,4038699.478
1,2820465.066,4273807.708
1,2674151.862,4165022.201
1,2724186.39,3902191.388
1,2932271.355,4142554.183
1,2696520.272,3804498.45
1,2977030.688,4698926.985
1,2703811.827,3981628.66
1,449237152.1,666329806
1,3547987.747,5455897.711
1,2663237.811,4168493.746
1,2833232.683,4237587.316
2,2517948.791,3966230.717
2,2999223.929,4732071.192
2,2542043.84,4003673.599
2,2331988.492,3773382.331
2,1706147.332,2698236.564
2,2265348.101,3871423.628
2,2528687.805,3765522.943
2,2452058.523,3815193.36
2,2841362.077,4281527.023
2,2320381.393,3546784.859
2,2471961.82,3907659.5
2,2794693.331,4226330.847
2,2659947.137,4125155.113
2,2508930.973,3804245.205
2,2219751.623,3434303.444
2,2839855.297,3917217.286
2,2794385.836,4051841.751
2,338662626.7,525534777.4
2,2858473.988,4283347.124
